"Origin","Destination","Immigration_absolute","per1000_dest","per1000_org"
"Bolivia","Argentina",326471,8.13795195943395,32.0624571255443
"Brazil","Argentina",13464,0.33561751329159,0.0705823889526944
"Chile","Argentina",129002,3.21563654557648,7.50820768241868
"Paraguay","Argentina",529996,13.2112254585925,83.4770830051977
"Peru","Argentina",157301,3.92104652839278,5.40989923413097
"Uruguay","Argentina",88257,2.19998476460011,26.2936962101947
"Bolivia","Brazil",16418,0.0860681567012282,1.61239871562003
"Uruguay","Brazil",11865,0.062199943918874,3.53484375782045
"Argentina","Canada",18342,0.536364438669262,0.457211558882527
"Brazil","Canada",21346,0.624208663604518,0.111902233703522
"Chile","Canada",25195,0.736762732105117,1.46640588950976
"Colombia","Canada",59522,1.74056722922646,1.32928908337029
"Ecuador","Canada",11785,0.344621901085882,0.781670039864177
"El Salvador","Canada",43420,1.26970580781918,7.15527658802399
"Guatemala","Canada",14940,0.436881731202637,1.03033686912211
"Mexico","Canada",59485,1.7394852597449,0.52952495295876
"Peru","Canada",24652,0.720884098902772,0.847832092102381
"Venezuela","Canada",14922,0.436355367671068,0.517516827880569
"Bolivia","Chile",21080,1.22690359797046,2.07025002590268
"Colombia","Chile",12057,0.70174462432305,0.269265792113766
"Peru","Chile",117108,6.81595002614445,4.02758074971303
"Colombia","Costa.Rica",19859,4.35890474040493,0.443505794607886
"El Salvador","Costa.Rica",12861,2.82289510379918,2.11939226620397
"Nicaragua","Costa.Rica",278044,61.028617233554,47.7574716592236
"Colombia","Ecuador",207827,13.7846533198856,4.64134542403813
"Argentina","Mexico",12729,0.113311307492848,0.317296147258515
"Colombia","Mexico",10137,0.0902377817625108,0.226386939923468
"Guatemala","Mexico",17644,0.157063768513144,1.21681818733538
"Colombia","Panama",45122,13.2485253887985,1.00769769194305
"Nicaragua","Panama",10656,3.12876837336636,1.83029886636895
"Brazil","Paraguay",36607,5.76578988817137,0.191905043998164
"Argentina","United.States",177954,0.575251911761256,4.43586445040788
"Bolivia","United.States",76845,0.248408201890903,7.54688630173108
"Brazil","United.States",329646,1.06560960531627,1.72810473772281
"Canada","United.States",605497,1.95732215525195,17.7061966263724
"Chile","United.States",85676,0.276955183879302,4.98653665368679
"Colombia","United.States",641488,2.07366621920218,14.326181840547
"Costa Rica","United.States",78195,0.252772195287386,17.1632285702182
"Ecuador","United.States",414037,1.33841091399966,27.4620550102032
"El Salvador","United.States",1187247,3.83788005036591,195.649024949372
"Guatemala","United.States",809981,2.61833461872334,55.8603271478179
"Honduras","United.States",486983,1.57421525644398,60.5249322954664
"Mexico","United.States",11426612,36.9375254164228,101.717679781088
"Nicaragua","United.States",250783,0.810678041444548,43.0750601167984
"Panama","United.States",95547,0.308864057076844,28.0540945730138
"Paraguay","United.States",29681,0.0959464355563002,4.67490943455662
"Peru","United.States",415890,1.34440089900979,14.3032974519089
"Uruguay","United.States",51172,0.165417977840605,15.2452612537032
"Venezuela","United.States",170057,0.549724166685682,5.8978259749957
"Colombia","Venezuela",884252,30.6671552129104,19.7477660453
"Ecuador","Venezuela",27750,0.9624106670477,1.84058919017657
"Peru","Venezuela",40622,1.40883049069592,1.39707266126006
