"Origin","Destination","Immigration_absolute","per1000_dest","per1000_org"
"Bolivia","Argentina",198042,5.32170931555485,23.0112155885352
"Chile","Argentina",160175,4.30416169105038,10.3314487429205
"Paraguay","Argentina",250682,6.73623137840419,45.6117176128093
"Peru","Argentina",77129,2.07258115853925,3.00557244174265
"Uruguay","Argentina",92136,2.47584355590209,27.6104285286185
"Chile","Brazil",10286,0.0591087323750773,0.663457354578933
"Uruguay","Brazil",13292,0.0763827795770491,3.98321845969434
"Argentina","Canada",12588,0.407486750044559,0.338259949223925
"Brazil","Canada",12071,0.39075091831807,0.0693662753742522
"Chile","Canada",24970,0.808305064236784,1.61059013648026
"Colombia","Canada",17162,0.555551922804633,0.439038858443711
"Ecuador","Canada",10290,0.333098082138426,0.810925507153521
"El Salvador","Canada",38577,1.24877791201692,6.49076743561938
"Guatemala","Canada",13709,0.443774694658473,1.17195060316687
"Mexico","Canada",35087,1.13580295510116,0.359927902400462
"Peru","Canada",17039,0.551570283921929,0.663977866105526
"Peru","Chile",30221,1.94928492248979,1.17765567765568
"Nicaragua","Costa.Rica",223137,56.6662891233495,43.9765471028774
"Colombia","Ecuador",59592,4.69627529857071,1.52448453865386
"Guatemala","Mexico",18086,0.185529000564732,1.54613017790328
"Colombia","Panama",19615,6.90869220200079,0.501791586550133
"Brazil","Paraguay",54317,9.8830058224163,0.312133872877413
"Argentina","United.States",119033,0.4229699162083,3.19860951191384
"Bolivia","United.States",50974,0.181130178259826,5.92285325037109
"Brazil","United.States",203841,0.724325276938463,1.17137693136964
"Canada","United.States",585660,2.08107466943245,18.9584278702809
"Chile","United.States",74971,0.266400725748762,4.83570497084748
"Colombia","United.States",507751,1.8042341025151,12.98930307736
"Costa Rica","United.States",64027,0.227512495064972,16.2598425796739
"Ecuador","United.States",295096,1.04858930207089,23.2556728337197
"El Salvador","United.States",833487,2.96169907967292,140.238232045314
"Guatemala","United.States",487414,1.73196893919125,41.667891990078
"Honduras","United.States",284973,1.01261839936512,43.9434078643022
"Mexico","United.States",9052130,32.1656907547204,92.8581572421778
"Nicaragua","United.States",222923,0.79213094377948,43.9343713046906
"Panama","United.States",102635,0.364701531088344,36.1495602422815
"Paraguay","United.States",10503,0.0373211884934075,1.91102620087336
"Peru","United.States",278061,0.988057411564827,10.8355155482815
"Uruguay","United.States",24968,0.0887208830147004,7.48216961342523
"Venezuela","United.States",99589,0.353877924485381,4.28661456190372
"Chile","Venezuela",11689,0.503130241433217,0.75395226693303
"Colombia","Venezuela",580057,24.9674239417424,14.8390375895749
"Ecuador","Venezuela",25308,1.08933357431704,1.99445118902248
"Peru","Venezuela",33986,1.4628611844768,1.3243706647962
