Origin,Destination,Immigration_absolute,per1000_dest,per1000_org
Bolivia,Argentina,375535,8.275932438,31.78110168
Brazil,Argentina,12357,0.272320016,0.058342776
Chile,Argentina,135945,2.995916853,7.018101224
Paraguay,Argentina,623881,13.74891024,87.46970573
Peru,Argentina,170372,3.754609188,5.167195026
Uruguay,Argentina,101021,2.226271774,29.08141968
Venezuela,Argentina,166995,3.680187832,5.872673806
Bolivia,Brazil,20677,0.097625118,1.749871089
Uruguay,Brazil,15775,0.074480642,4.541228017
Venezuela,Brazil,242425,1.144593957,8.525302839
Argentina,Canada,20386,0.536399746,0.449260811
Brazil,Canada,29554,0.777629652,0.139537299
Chile,Canada,28757,0.756658858,1.48456756
Colombia,Canada,73710,1.939469502,1.455856298
Ecuador,Canada,13668,0.359634638,0.778978123
El Salvador,Canada,51528,1.355813112,8.264747806
Guatemala,Canada,18176,0.478249867,1.047165966
Mexico,Canada,76386,2.009880849,0.592448375
Nicaragua,Canada,10365,0.272725565,1.564633634
Peru,Canada,26176,0.688747167,0.793889237
Venezuela,Canada,21305,0.560580623,0.749227914
Bolivia,Chile,123514,6.376356281,10.45284992
Colombia,Chile,168755,8.711903137,3.333103101
Ecuador,Chile,30407,1.569748089,1.732981254
Peru,Chile,222658,11.49462196,6.752971792
Venezuela,Chile,509163,26.2853174,17.90561522
Venezuela,Colombia,862733,17.03995756,30.33952808
Colombia,Costa Rica,23702,4.708084649,0.468141446
El Salvador,Costa Rica,15793,3.137067794,2.533091952
Nicaragua,Costa Rica,339573,67.45162553,51.25975273
Venezuela,Costa Rica,27153,5.393579549,0.954883151
Colombia,Ecuador,184290,10.50321029,3.639937012
Venezuela,Ecuador,354003,20.17563597,12.44914007
El Salvador,Guatemala,11647,0.671013535,1.868101182
Argentina,Mexico,15225,0.118084813,0.335524176
Colombia,Mexico,14612,0.113330396,0.288603612
El Salvador,Mexico,15065,0.116843856,2.416325604
Guatemala,Mexico,27446,0.212870658,1.581234436
Honduras,Mexico,37162,0.288227771,3.751991371
Venezuela,Mexico,66767,0.517843592,2.347979353
Colombia,Panama,47579,11.0270149,0.939739341
Nicaragua,Panama,15094,3.498219023,2.278493013
Venezuela,Panama,118725,27.51597016,4.175174093
Brazil,Paraguay,30055,4.213787575,0.141902738
Bolivia,Peru,15600,0.47313081,1.32021033
Venezuela,Peru,897570,27.22230906,31.56463264
Argentina,United States,214264,0.647318078,4.721888473
Bolivia,United States,74575,0.22530031,6.311197779
Brazil,United States,495109,1.495785603,2.337625118
Canada,United States,520671,1.573011571,13.69997999
Chile,United States,72699,0.219632682,3.753054109
Colombia,United States,796794,2.407213349,15.73758734
Costa Rica,United States,81694,0.246807691,16.22741825
Ecuador,United States,397268,1.200195826,22.64143115
El Salvador,United States,1405171,4.245195607,225.380064
Guatemala,United States,1217550,3.678369331,70.14617748
Honduras,United States,766091,2.314455784,77.34693562
Mexico,United States,10053857,30.37394707,77.97752523
Nicaragua,United States,251233,0.759006006,37.92451537
Panama,United States,82897,0.250442103,19.21239316
Paraguay,United States,44464,0.13433125,6.233966086
Peru,United States,394576,1.19206296,11.9670553
Uruguay,United States,49531,0.149639285,14.25873629
Venezuela,United States,495049,1.495604336,17.40927151
Venezuela,Uruguay,10389,2.990733304,0.365347514
