Sender,Receiver,Weight
Argentina,United States,0.331997275
Bolivia,Argentina,3.825600884
Bolivia,United States,0.113485644
Bolivia,Uruguay,3.265627466
Brazil,Paraguay,22.16228148
Brazil,United States,0.284198609
Canada,United States,2.033823563
Chile,Argentina,5.82588175
Chile,Brazil,0.120092617
Chile,Canada,0.7896884
Chile,United States,0.201162099
Chile,Venezuela,1.004983196
Colombia,Ecuador,2.70850567
Colombia,Panama,4.844063508
Colombia,United States,1.096241161
Colombia,Venezuela,26.45264222
Costa Rica,United States,0.140501057
Ecuador,United States,0.541671299
Ecuador,Venezuela,1.116473598
El Salvador,Canada,0.958529502
El Salvador,Costa Rica,17.31938512
El Salvador,Guatemala,25.31033191
El Salvador,Honduras,19.88480243
El Salvador,Mexico,3.67569606
El Salvador,United States,1.839090642
Guatemala,Mexico,0.823892831
Guatemala,United States,0.884231082
Honduras,United States,0.427128198
Mexico,Canada,0.558125636
Mexico,United States,16.48420286
Nicaragua,Costa Rica,29.50808564
Nicaragua,Honduras,26.64337845
Nicaragua,United States,0.663174316
Panama,Mexico,0.298438227
Panama,United States,0.331386121
Paraguay,Argentina,6.313244332
Peru,Canada,0.368773148
Peru,United States,0.555076477
Peru,Venezuela,1.39823749
Uruguay,Argentina,3.735113369
Uruguay,Brazil,0.153785063
Uruguay,United States,0.077363234
Venezuela,United States,0.122552433
