Origin,Destination,Immigration_absolute,per1000_dest,per1000_org
Bolivia,Argentina,198042,5.321709316,23.01121559
Chile,Argentina,160175,4.304161691,10.33144874
Paraguay,Argentina,250682,6.736231378,45.61171761
Peru,Argentina,77129,2.072581159,3.005572442
Uruguay,Argentina,92136,2.475843556,27.61042853
Chile,Brazil,10286,0.059108732,0.663457355
Uruguay,Brazil,13292,0.07638278,3.98321846
Argentina,Canada,12588,0.40748675,0.338259949
Brazil,Canada,12071,0.390750918,0.069366275
Chile,Canada,24970,0.808305064,1.610590136
Colombia,Canada,17162,0.555551923,0.439038858
Ecuador,Canada,10290,0.333098082,0.810925507
El Salvador,Canada,38577,1.248777912,6.490767436
Guatemala,Canada,13709,0.443774695,1.171950603
Mexico,Canada,35087,1.135802955,0.359927902
Peru,Canada,17039,0.551570284,0.663977866
Peru,Chile,30221,1.949284922,1.177655678
Nicaragua,Costa Rica,223137,56.66628912,43.9765471
Colombia,Ecuador,59592,4.696275299,1.524484539
Guatemala,Mexico,18086,0.185529001,1.546130178
Colombia,Panama,19615,6.908692202,0.501791587
Brazil,Paraguay,54317,9.883005822,0.312133873
Argentina,United States,119033,0.422969916,3.198609512
Bolivia,United States,50974,0.181130178,5.92285325
Brazil,United States,203841,0.724325277,1.171376931
Canada,United States,585660,2.081074669,18.95842787
Chile,United States,74971,0.266400726,4.835704971
Colombia,United States,507751,1.804234103,12.98930308
Costa Rica,United States,64027,0.227512495,16.25984258
Ecuador,United States,295096,1.048589302,23.25567283
El Salvador,United States,833487,2.96169908,140.238232
Guatemala,United States,487414,1.731968939,41.66789199
Honduras,United States,284973,1.012618399,43.94340786
Mexico,United States,9052130,32.16569075,92.85815724
Nicaragua,United States,222923,0.792130944,43.9343713
Panama,United States,102635,0.364701531,36.14956024
Paraguay,United States,10503,0.037321188,1.911026201
Peru,United States,278061,0.988057412,10.83551555
Uruguay,United States,24968,0.088720883,7.482169613
Venezuela,United States,99589,0.353877924,4.286614562
Chile,Venezuela,11689,0.503130241,0.753952267
Colombia,Venezuela,580057,24.96742394,14.83903759
Ecuador,Venezuela,25308,1.089333574,1.994451189
Peru,Venezuela,33986,1.462861184,1.324370665
