,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States,Uruguay,Venezuela
Argentina,, 36 671, 28 819, 18 870, 55 685, 3 386, 1 448, 4 266,  207,  482,  136, 14 174,  251, 2 179, 58 456, 11 961, 182 404, 26 782, 9 542
Bolivia, 363 142,, 38 484, 4 605, 25 143,  795,  365, 1 208,  51,  118,  105, 1 989,  60,  388, 1 034, 7 026, 81 051,, 1 910
Brazil, 42 283, 22 066,, 22 920, 10 065, 2 570,  537, 2 097,  232,  209,  169, 4 533,  114, 1 710, 75 523, 6 193, 352 957, 11 978, 5 689
Canada,  528, 1 185, 1 574,,, 1 033, 1 389, 1 850,  235,  345,  249, 10 210,  234, 1 545, 2 337, 2 063, 868 967,  304, 1 083
Chile, 184 687, 4 063, 15 300, 25 195,, 2 344, 1 715, 8 959,  220,  262,  221, 5 268,  117, 1 549, 2 161, 7 564, 95 695, 1 248, 15 123
Colombia, 1 722, 2 546, 6 793, 60 555, 14 401,, 20 965, 221 534,  553, 1 005,  618, 13 262,  415, 47 190,, 6 454, 658 465,, 929 944
Costa Rica,  123,  125,  384, 4 095,, 1 106,,  742,  840, 1 010,  613, 2 483, 9 989, 6 629,,  323, 90 687,, 1 120
Ecuador,  952,  861, 1 716, 13 635, 17 966, 13 707, 1 255,,  118,  145,  328, 2 202,  103, 2 282,, 5 312, 435 209,, 34 782
El Salvador,  73,  109,  227, 43 655,,  425, 13 701,  413,, 16 691, 6 303, 8 866, 2 267, 2 756,,  103,1 192 423,,  978
Guatemala,  96,  122,  290, 15 285,,  494, 2 623,  341, 8 521,, 3 280, 32 894, 1 634, 1 372,,  156, 817 495,,  422
Honduras,  66,  198,  126, 5 805,,  384, 3 869,  372, 11 198, 7 292,, 9 982, 11 534, 1 284,,  158, 491 834,,  293
Mexico, 1 445, 8 179, 2 657, 69 695, 3 403, 3 125, 3 056, 1 785, 1 644, 15 250, 1 116,,  785, 4 127, 1 645, 1 928,12 168 662,  516, 3 627
Nicaragua,  91,  95,  365, 8 945,,, 288 033,  311, 7 502, 7 443, 5 530, 3 573,, 11 032,,  154, 254 081,, 1 992
Panama,  160,  94,  517, 2 445,, 2 068, 11 261,  762,  433,  261,  284, 1 767,  376,,,  330, 107 540,,  886
Paraguay, 588 452, 3 681, 38 916, 7 110, 2 398,,  83,  192,  11,  51,  25,  507,,  104,,  523, 31 296,  995,  217
Peru, 169 262, 9 691, 14 892, 26 715, 124 672, 4 575, 3 730, 10 826,  224,  397,  274, 5 888,  212, 3 666,,, 428 629,  88, 44 126
United States, 4 450, 4 206, 23 311, 263 470, 10 019, 16 977, 12 492, 21 172, 5 176, 7 514, 4 851, 742 050, 3 298, 11 993, 1 615, 12 739,,  604, 10 848
Uruguay, 115 039,  437, 23 843, 6 600, 4 480,  436,  310,  758,  72,  122,  48, 2 372,  36,  650, 2 997,  587, 51 776,, 4 700
Venezuela, 1 236,  664, 2 845, 16 005, 8 095, 45 692, 1 362, 7 032,  232,  246,  73, 10 788,  148, 8 441,, 3 504, 180 905,  565,
