,Argentina,Bolivia,Brazil,Canada,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States,Uruguay,Venezuela
Argentina,,,,0.536364439,,,,,,,,0.113311307,,,,,0.575251912,,
Bolivia,8.137951959,,0.086068157,,1.226903598,,,,,,,,,,,,0.248408202,,
Brazil,0.335617513,,,0.624208664,,,,,,,,,,,5.765789888,,1.065609605,,
Canada,,,,,,,,,,,,,,,,,1.957322155,,
Chile,3.215636546,,,,,,,,,,,,,,,,0.276955184,,
Colombia,,,,1.740567229,0.701744624,,4.35890474,13.78465332,,,,0.090237782,,13.24852539,,,2.073666219,,30.66715521
Costa Rica,,,,,,,,,,,,,,,,,0.252772195,,
Ecuador,,,,0.344621901,,,,,,,,,,,,,1.338410914,,0.962410667
El Salvador,,,,1.269705808,,,2.822895104,,,,,,,,,,3.83788005,,
Guatemala,,,,0.436881731,,,,,,,,0.157063769,,,,,2.618334619,,
Honduras,,,,,,,,,,,,,,,,,1.574215256,,
Mexico,,,,1.73948526,,,,,,,,,,,,,36.93752542,,
Nicaragua,,,,,,,61.02861723,,,,,,,3.128768373,,,0.810678041,,
Panama,,,,,,,,,,,,,,,,,0.308864057,,
Paraguay,13.21122546,,,,,,,,,,,,,,,,0.095946436,,
Peru,3.921046528,,,0.720884099,6.815950026,,,,,,,,,,,,1.344400899,,1.408830491
United States,,,,,,,,,,,,,,,,,,,
Uruguay,2.199984765,,0.062199944,,,,,,,,,,,,,,0.165417978,,
Venezuela,,,,0.436355368,,,,,,,,,,,,,0.549724167,,
